ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Type_of_order,Type_of_vehicle,Time_taken(min),Distance_km,Traffic,Peak_Hour,Weather,Season,Normal_Hour_Preparation_Time,Peak_Hour_Preparation_Time,Food_Type
85B4,MUMRES07DEL01,28,4.6,19.091458,72.827808,19.201458,72.937808,Snack ,scooter ,60,16.826241648658563,Medium,No,Rain,Monsoon,14,25,Burger
C644,KOLRES16DEL02,37,4.9,22.539129,88.365507,22.559129,88.385507,Snack ,scooter ,13,3.0272369309751475,Low,No,Clear,Summer,16,27,Meals
6999,MUMRES02DEL03,23,4.9,19.221315,72.862381,19.281315,72.922381,Drinks ,electric_scooter ,31,9.175193844437285,Low,No,Cloudy,Winter,11,17,Biryani
63B6,BANGRES05DEL03,27,4.9,12.970324,77.645748,13.030324,77.705748,Drinks ,scooter ,43,9.315069177421467,Medium,No,Rain,Monsoon,17,25,Snacks
A30B,CHENRES11DEL01,37,4.8,13.064181,80.236442,13.104181,80.276442,Drinks ,motorcycle ,27,6.209021101535329,Medium,No,Clear,Summer,18,23,Drinks
3556,SURRES09DEL01,33,5.0,21.175975,72.795503,21.185975,72.805503,Snack ,scooter ,14,1.5203447277394997,Low,No,Cloudy,Winter,13,24,Burger
5554,RANCHIRES15DEL01,31,4.9,23.369746,85.33982,23.409746,85.37982,Snack ,motorcycle ,26,6.037225392444489,Low,No,Rain,Monsoon,13,22,Drinks
25FD,BANGRES19DEL01,31,4.8,12.914264,77.6784,13.024264,77.7884,Drinks ,scooter ,58,17.078665498349924,Medium,No,Clear,Summer,10,18,Drinks
C1FF,AURGRES20DEL03,25,5.0,0.0,0.0,0.03,0.03,Snack ,motorcycle ,26,4.717601092054723,Low,No,Cloudy,Winter,15,22,Pizza
7AC8,COIMBRES14DEL02,28,4.8,11.003681,76.975525,11.083681,77.055525,Drinks ,motorcycle ,60,12.464329297636857,High,Yes,Rain,Monsoon,14,22,Snacks
3DA1,SURRES08DEL03,31,4.7,21.173343,72.792731,21.233343,72.852731,Snack ,motorcycle ,32,9.12142598198074,Low,No,Clear,Summer,17,24,Drinks
272D,COIMBRES07DEL03,24,4.7,10.96185,76.971082,11.05185,77.061082,Buffet ,motorcycle ,52,14.02323208308413,Low,No,Cloudy,Winter,8,15,Pizza
DDC5,AGRRES12DEL03,39,4.6,27.165108,78.015053,27.255108,78.105053,Snack ,motorcycle ,54,13.392612276663751,Medium,No,Rain,Monsoon,12,21,Biryani
8E6C,VADRES02DEL02,39,4.2,0.0,0.0,0.08,0.08,Snack ,scooter ,59,12.58026782240096,High,Yes,Clear,Summer,18,24,Biryani
B002,JAPRES14DEL01,32,4.5,26.88842,75.800689,26.89842,75.810689,Buffet ,scooter ,20,1.4899271643867569,Medium,No,Cloudy,Winter,16,22,Snacks
395B,VADRES04DEL03,36,4.7,0.0,0.0,0.06,0.06,Snack ,motorcycle ,43,9.435201537430713,Medium,No,Rain,Monsoon,18,27,Biryani
8AA2,JAPRES18DEL02,25,4.8,26.913987,75.752891,26.993987,75.832891,Drinks ,scooter ,39,11.916582838287257,Low,No,Clear,Summer,16,24,Drinks
B55A,MYSRES04DEL03,33,4.9,12.3085,76.665808,12.3385,76.695808,Drinks ,scooter ,27,4.663566689152346,Medium,No,Cloudy,Winter,10,17,Drinks
73CC,SURRES12DEL01,30,4.4,21.183434,72.814492,21.253434,72.884492,Drinks ,scooter ,53,10.641157729337486,Medium,Yes,Rain,Monsoon,17,26,Meals
BE80,MUMRES04DEL01,33,5.0,19.254567,72.848923,19.364567,72.958923,Buffet ,motorcycle ,57,16.818368923733058,Medium,No,Clear,Summer,10,18,Snacks
1609,PUNERES02DEL01,36,4.9,18.55144,73.804855,18.59144,73.844855,Drinks ,scooter ,28,6.128551257918874,Low,No,Cloudy,Winter,16,28,Burger
D255,ALHRES07DEL02,21,4.8,25.449659,81.839744,25.469659,81.859744,Meal ,electric_scooter ,19,2.996250036666747,Low,No,Rain,Monsoon,15,26,Snacks
DE72,DEHRES19DEL02,39,4.9,30.372202,78.077151,30.422202,78.127151,Meal ,motorcycle ,31,7.342175722857832,Medium,No,Clear,Summer,13,19,Meals
98AA,VADRES16DEL02,23,4.8,0.0,0.0,0.02,0.02,Meal ,scooter ,18,3.145067434621583,Low,No,Cloudy,Winter,11,22,Meals
273A,VADRES09DEL01,35,4.8,0.0,0.0,0.04,0.04,Buffet ,scooter ,31,6.290134677634678,Low,No,Rain,Monsoon,8,19,Biryani
A258,CHENRES12DEL03,39,4.6,12.972793,80.249982,13.062793,80.339982,Snack ,scooter ,60,13.972123977178397,High,Yes,Clear,Summer,13,23,Drinks
8B53,SURRES11DEL01,22,4.7,21.157735,72.768778,21.197735,72.808778,Buffet ,scooter ,24,6.0814407970077005,Low,No,Cloudy,Winter,17,29,Snacks
BBDE,SURRES01DEL01,32,4.6,21.186438,72.794115,21.226438,72.834115,Meal ,scooter ,27,6.080891507841841,Low,No,Rain,Monsoon,11,21,Biryani
5DED,VADRES15DEL02,24,4.8,0.0,0.0,0.08,0.08,Buffet ,motorcycle ,43,12.58026782240096,Low,No,Clear,Summer,15,20,Burger
1A70,MYSRES14DEL02,29,4.7,0.0,0.0,0.02,0.02,Buffet ,motorcycle ,16,3.145067434621583,Low,No,Cloudy,Winter,9,16,Drinks
A9F,BANGRES13DEL01,29,4.6,12.935662,77.61413,12.975662,77.65413,Drinks ,scooter ,32,6.210589610313767,Low,No,Rain,Monsoon,15,25,Pizza
4B7F,HYDRES13DEL03,26,4.7,17.431477,78.40035,17.491477,78.46035,Buffet ,motorcycle ,32,9.220373067021596,Low,No,Clear,Summer,8,18,Snacks
C606,BHPRES12DEL02,20,4.5,0.0,0.0,0.05,0.05,Drinks ,motorcycle ,38,7.862668167410368,Medium,No,Cloudy,Winter,18,30,Snacks
B962,CHENRES11DEL03,35,4.1,13.064181,80.236442,13.154181,80.326442,Buffet ,motorcycle ,60,13.969606427684226,High,Yes,Rain,Monsoon,16,21,Meals
633C,BANGRES010DEL03,39,4.6,12.933298,77.614293,13.023298,77.704293,Drinks ,scooter ,58,13.97320677313832,High,Yes,Clear,Summer,14,21,Meals
2DC6,VADRES20DEL01,34,4.7,22.311358,73.164798,22.351358,73.204798,Drinks ,electric_scooter ,28,6.058853851668898,Medium,No,Cloudy,Winter,15,27,Drinks
903A,BANGRES11DEL01,27,4.7,12.934365,77.616155,13.044365,77.726155,Snack ,scooter ,60,17.07799287216156,High,Yes,Rain,Monsoon,13,23,Drinks
C444,DEHRES01DEL01,30,4.8,0.0,0.0,0.11,0.11,Snack ,motorcycle ,60,17.29786575291325,Medium,No,Clear,Summer,13,25,Burger
1FB7,CHENRES02DEL01,25,4.4,13.086438,80.220672,13.196438,80.330672,Snack ,scooter ,60,17.07287190639919,High,Yes,Cloudy,Winter,14,20,Biryani
34D7,MUMRES04DEL01,25,4.7,19.254567,72.848923,19.364567,72.958923,Meal ,motorcycle ,60,16.818368923733058,Medium,No,Rain,Monsoon,12,22,Pizza
156B,JAPRES03DEL02,30,5.0,26.913483,75.803139,26.933483,75.823139,Buffet ,motorcycle ,25,2.9795028505763823,Medium,Yes,Clear,Summer,16,21,Snacks
56AD,HYDRES04DEL03,24,4.6,17.411028,78.329645,17.471028,78.389645,Buffet ,motorcycle ,37,9.22086597503729,Low,No,Cloudy,Winter,14,22,Pizza
837C,PUNERES14DEL02,39,4.8,18.516216,73.842527,18.566216,73.892527,Meal ,motorcycle ,37,7.66133113422064,Medium,No,Rain,Monsoon,15,27,Biryani
CBC4,GOARES04DEL01,25,4.8,15.5696,73.742294,15.6096,73.782294,Snack ,scooter ,22,6.175516093406556,Low,No,Clear,Summer,18,30,Snacks
C19E,AURGRES08DEL02,37,4.6,19.876428,75.364792,19.956428,75.444792,Buffet ,motorcycle ,60,12.209856560906877,High,Yes,Cloudy,Winter,12,23,Snacks
1D60,BANGRES12DEL01,24,5.0,12.939496,77.625999,12.949496,77.635999,Drinks ,motorcycle ,25,1.5526813140975844,Medium,No,Rain,Monsoon,12,20,Burger
95FB,HYDRES05DEL01,25,4.2,17.433809,78.386744,17.543809,78.496744,Meal ,motorcycle ,60,16.902806732498597,High,Yes,Clear,Summer,8,14,Meals
8195,RANCHIRES17DEL01,32,4.6,23.374878,85.335739,23.384878,85.345739,Drinks ,motorcycle ,20,1.5093577696342253,Medium,No,Cloudy,Winter,9,16,Burger
C042,AGRRES010DEL01,34,4.7,-27.163303,78.057044,27.233303,78.127044,Drinks ,scooter ,60,6048.631240095335,Low,No,Rain,Monsoon,17,27,Meals
6D19,INDORES12DEL02,38,4.9,22.74806,75.8934,22.76806,75.9134,Drinks ,scooter ,12,3.0251186390180176,Low,No,Clear,Summer,17,25,Biryani
3.5E+07,JAPRES15DEL03,36,4.8,26.891191,75.802083,26.981191,75.892083,Buffet ,electric_scooter ,47,13.407092693002165,Low,No,Cloudy,Winter,9,14,Drinks
B437,SURRES16DEL01,25,5.0,21.160437,72.774209,21.270437,72.884209,Meal ,motorcycle ,60,16.721976048741656,Low,No,Rain,Monsoon,18,28,Burger
9.7E+04,MYSRES16DEL02,29,5.0,12.316967,76.603067,12.366967,76.653067,Drinks ,motorcycle ,31,7.772343594464188,Low,No,Clear,Summer,16,24,Burger
A3E0,MUMRES05DEL03,36,4.7,18.927584,72.832585,19.017584,72.922585,Drinks ,electric_scooter ,49,13.773737657079211,Medium,No,Cloudy,Winter,18,25,Meals
4161,COIMBRES19DEL02,33,4.7,11.022298,76.998349,11.072298,77.048349,Snack ,motorcycle ,41,7.790158927085036,Medium,No,Rain,Monsoon,10,20,Burger
1236,MYSRES07DEL01,36,4.4,12.325461,76.632278,12.365461,76.672278,Meal ,scooter ,37,6.217834398579603,High,Yes,Clear,Summer,8,16,Biryani
2558,PUNERES17DEL01,21,4.8,18.530963,73.828972,18.640963,73.938972,Snack ,motorcycle ,54,16.852834881459735,Low,No,Cloudy,Winter,18,24,Biryani
3185,HYDRES19DEL03,25,4.8,17.458998,78.500366,17.488998,78.530366,Snack ,scooter ,22,4.610035602261126,Low,No,Rain,Monsoon,11,22,Meals
3C57,MUMRES14DEL02,23,4.8,19.1813,72.836191,19.3113,72.966191,Meal ,motorcycle ,60,19.87987067737402,Low,No,Clear,Summer,8,19,Snacks
4863,COIMBRES02DEL01,25,4.6,11.022477,76.995667,11.032477,77.005667,Snack ,motorcycle ,14,1.5580833985943423,Low,No,Cloudy,Winter,10,19,Drinks
6757,INDORES05DEL02,24,4.3,22.727021,75.884167,22.747021,75.904167,Meal ,motorcycle ,22,3.0253327061731827,Low,No,Rain,Monsoon,10,16,Drinks
22AD,BANGRES03DEL03,27,4.6,12.979166,77.640709,13.069166,77.730709,Buffet ,motorcycle ,55,13.971948960174704,Medium,No,Clear,Summer,14,22,Pizza
9F99,MUMRES11DEL01,23,4.8,18.994237,72.825553,19.104237,72.935553,Snack ,scooter ,60,16.830905551931515,Medium,No,Cloudy,Winter,16,27,Snacks
6781,MYSRES12DEL02,21,4.3,12.284747,76.625861,12.414747,76.755861,Drinks ,scooter ,60,20.20779793335838,High,Yes,Rain,Monsoon,12,18,Meals
1B8D,SURRES09DEL02,27,4.7,21.175975,72.795503,21.195975,72.815503,Snack ,scooter ,19,3.040641621538215,Low,No,Clear,Summer,17,26,Pizza
1AEA,COIMBRES12DEL02,32,4.2,11.000762,76.981876,11.130762,77.111876,Snack ,motorcycle ,60,20.25378535947016,High,Yes,Cloudy,Winter,16,22,Drinks
1E+42,SURRES08DEL01,25,4.6,21.173343,72.792731,21.283343,72.902731,Drinks ,motorcycle ,60,16.721296009802852,Medium,No,Rain,Monsoon,8,19,Pizza
DDC8,KNPRES05DEL02,39,4.7,26.479108,80.315042,26.499108,80.335042,Meal ,scooter ,14,2.984550789786577,Low,No,Clear,Summer,18,23,Biryani
24AC,SURRES05DEL02,27,4.6,21.175104,72.804342,21.255104,72.884342,Snack ,motorcycle ,49,12.161450531436996,Medium,No,Cloudy,Winter,14,22,Pizza
3F01,MUMRES15DEL01,39,3.8,19.176269,72.836721,19.286269,72.946721,Drinks ,motorcycle ,60,16.822155609316784,High,Yes,Rain,Monsoon,13,21,Meals
628C,BANGRES15DEL02,31,4.8,12.975377,77.696664,13.025377,77.746664,Snack ,scooter ,35,7.762556904358387,Medium,No,Clear,Summer,14,25,Pizza
6C38,RANCHIRES11DEL03,31,4.8,23.359194,85.325447,23.419194,85.385447,Buffet ,electric_scooter ,34,9.055855161965688,Low,No,Cloudy,Winter,18,26,Meals
4BEB,MYSRES08DEL01,20,4.8,12.297954,76.665169,12.307954,76.675169,Drinks ,motorcycle ,17,1.5545816630915406,Low,No,Rain,Monsoon,9,20,Burger
8339,RANCHIRES07DEL02,36,4.9,23.359407,85.325055,23.439407,85.405055,Drinks ,motorcycle ,57,12.074047498027545,High,Yes,Clear,Summer,13,20,Pizza
3EC5,RANCHIRES01DEL03,20,4.9,23.416792,85.316842,23.506792,85.406842,Meal ,motorcycle ,48,13.58037387628081,Low,No,Cloudy,Winter,8,18,Burger
ADB4,JAPRES17DEL03,24,4.6,26.892312,75.806896,26.922313,75.836896,Drinks ,motorcycle ,28,4.469620875558469,Medium,No,Rain,Monsoon,14,19,Biryani
6E+02,VADRES06DEL01,29,4.6,22.31279,73.170283,22.42279,73.280283,Snack ,electric_scooter ,60,16.65983831917015,Medium,No,Clear,Summer,13,19,Pizza
2BC0,INDORES14DEL01,39,4.2,22.761593,75.886362,22.871593,75.996362,Snack ,scooter ,60,16.634870118211385,High,Yes,Cloudy,Winter,9,16,Drinks
9.9E+08,COIMBRES17DEL01,37,4.8,11.026117,76.944652,11.066117,76.984652,Meal ,scooter ,29,6.232139486668676,Low,No,Rain,Monsoon,15,22,Drinks
39EF,CHENRES11DEL01,32,4.9,13.064181,80.236442,13.104181,80.276442,Drinks ,motorcycle ,29,6.209021101535329,Medium,No,Clear,Summer,9,18,Biryani
E264,KNPRES17DEL02,22,4.5,26.483042,80.317833,26.533042,80.367833,Drinks ,scooter ,32,7.460830127736771,Low,No,Cloudy,Winter,18,29,Pizza
BD03,COIMBRES12DEL02,23,4.9,11.000762,76.981876,11.130762,77.111876,Meal ,scooter ,60,20.25378535947016,Low,No,Rain,Monsoon,12,19,Drinks
9A29,RANCHIRES04DEL01,33,4.7,23.359033,85.325347,23.469033,85.435347,Snack ,scooter ,60,16.60097570059501,High,Yes,Clear,Summer,14,20,Snacks
D0E5,KOLRES17DEL03,23,4.6,22.569358,88.433452,22.599358,88.463452,Drinks ,motorcycle ,20,4.5403213728916425,Low,No,Cloudy,Winter,8,13,Drinks
A480,BANGRES19DEL02,27,4.6,12.914264,77.6784,12.994264,77.7584,Drinks ,motorcycle ,52,12.421212735966272,Medium,No,Rain,Monsoon,11,22,Biryani
B46C,MUMRES17DEL01,34,4.7,19.121999,72.908493,19.161999,72.948493,Snack ,scooter ,30,6.118711846690412,Medium,No,Clear,Summer,10,18,Pizza
7150,SURRES14DEL01,26,5.0,21.157729,72.768726,21.167729,72.778726,Meal ,scooter ,13,1.5204319479995732,Low,No,Cloudy,Winter,14,21,Biryani
1E+58,VADRES14DEL03,31,4.6,22.311603,73.165012,22.371603,73.225012,Snack ,motorcycle ,43,9.087972744660556,Medium,No,Rain,Monsoon,12,21,Biryani
4460,PUNERES09DEL02,32,4.9,18.536562,73.896485,18.556562,73.916485,Snack ,motorcycle ,15,3.064487105761538,Low,No,Clear,Summer,8,13,Biryani
977D,INDORES19DEL02,27,4.7,22.745536,75.893106,22.765536,75.913106,Buffet ,motorcycle ,15,3.025144329113472,Low,No,Cloudy,Winter,8,17,Drinks
1602,BANGRES010DEL03,21,4.9,12.933298,77.614293,13.023298,77.704293,Drinks ,motorcycle ,60,13.97320677313832,High,Yes,Rain,Monsoon,14,23,Burger
894E,BANGRES12DEL02,28,4.8,12.939496,77.625999,12.989496,77.675999,Drinks ,motorcycle ,26,7.7631027847272,Low,No,Clear,Summer,18,23,Drinks
5A01,VADRES04DEL01,24,4.9,0.0,0.0,0.04,0.04,Meal ,scooter ,23,6.290134677634678,Low,No,Cloudy,Winter,14,23,Meals
655,HYDRES14DEL01,33,4.4,17.426228,78.407495,17.436228,78.417495,Snack ,motorcycle ,23,1.5368503798527686,Medium,No,Rain,Monsoon,8,14,Snacks
20F6,BANGRES11DEL03,20,4.6,12.934365,77.616155,13.024365,77.706155,Buffet ,motorcycle ,60,13.973177561576213,High,Yes,Clear,Summer,16,28,Burger
3DB1,COIMBRES13DEL03,31,4.3,11.003669,76.976494,11.063669,77.036494,Snack ,motorcycle ,42,9.34840352266177,Medium,No,Cloudy,Winter,18,24,Burger
1EC7,PUNERES05DEL03,29,4.6,18.543626,73.905101,18.573626,73.935101,Snack ,scooter ,24,4.596576884052145,Low,No,Rain,Monsoon,13,21,Snacks
8ED2,VADRES20DEL01,36,5.0,22.311358,73.164798,22.381358,73.234798,Snack ,motorcycle ,51,10.602467987619454,High,Yes,Clear,Summer,16,22,Meals
64CC,CHENRES19DEL01,31,4.2,12.986047,80.218114,13.096047,80.328114,Meal ,motorcycle ,60,17.076258901182708,High,Yes,Cloudy,Winter,17,29,Burger
2ED0,HYDRES02DEL03,39,4.1,17.41233,78.449654,17.47233,78.509654,Meal ,scooter ,50,9.22083460710919,Medium,Yes,Rain,Monsoon,8,13,Drinks
4008,SURRES010DEL02,29,4.6,21.17106,72.789292,21.25106,72.869292,Meal ,electric_scooter ,40,12.161605446009546,Low,No,Clear,Summer,10,21,Biryani
7553,SURRES03DEL01,29,4.6,21.186884,72.793616,21.226884,72.833616,Snack ,scooter ,30,6.08088296759392,Medium,No,Cloudy,Winter,14,25,Snacks
35D8,COIMBRES17DEL03,37,4.9,11.026117,76.944652,11.056117,76.974652,Buffet ,motorcycle ,30,4.674143698976654,Medium,No,Rain,Monsoon,9,18,Snacks
9832,VADRES08DEL01,33,4.7,0.0,0.0,0.04,0.04,Snack ,motorcycle ,30,6.290134677634678,Medium,No,Clear,Summer,17,25,Burger
4C88,MUMRES08DEL01,31,3.9,19.065838,72.832658,19.135838,72.902658,Buffet ,scooter ,58,10.70900337153546,High,Yes,Cloudy,Winter,10,22,Burger
9693,VADRES18DEL01,37,4.6,0.0,0.0,0.04,0.04,Drinks ,motorcycle ,47,6.290134677634678,High,Yes,Rain,Monsoon,14,23,Snacks
81A5,BANGRES04DEL03,26,4.4,12.98041,77.640489,13.04041,77.700489,Buffet ,motorcycle ,39,9.314884732862104,Medium,No,Clear,Summer,10,17,Drinks
AE56,COIMBRES02DEL01,24,4.6,11.022477,76.995667,11.132477,77.105667,Snack ,motorcycle ,60,17.137482577838096,Medium,No,Cloudy,Winter,13,19,Burger
8D18,RANCHIRES12DEL02,23,4.8,0.0,0.0,0.02,0.02,Buffet ,scooter ,21,3.145067434621583,Low,No,Rain,Monsoon,10,19,Drinks
9CBA,VADRES18DEL01,36,4.9,0.0,0.0,0.01,0.01,Buffet ,scooter ,19,1.5725337292863206,Medium,No,Clear,Summer,8,18,Burger
9B79,MYSRES13DEL01,39,4.8,12.310972,76.659264,12.350972,76.699264,Snack ,motorcycle ,31,6.218002348694166,Medium,No,Cloudy,Winter,9,15,Meals
596A,COIMBRES03DEL02,20,4.7,11.025083,77.015393,11.105083,77.095393,Drinks ,motorcycle ,52,12.463883024166927,Medium,No,Rain,Monsoon,18,24,Snacks
78AA,MYSRES16DEL02,20,5.0,12.316967,76.603067,12.446967,76.733067,Meal ,motorcycle ,60,20.2065815105083,High,Yes,Clear,Summer,10,16,Snacks
D7EC,KOLRES04DEL03,29,4.3,22.538731,88.364878,22.598731,88.424878,Buffet ,motorcycle ,39,9.081116432460677,Medium,No,Cloudy,Winter,11,20,Biryani
